"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
100,1,0.6,0.2,1,0.5,50,1,0.6,0,0.4,2989.32,4012,923.552821379238,0,50,0.582577286332525,0.267095387877671,30,0.461814377475894,0.723916102697434,6.93889390390723e-18,0.0713475991333587,2726.84919227981,3251.79080772019,4012,4012,0.482842229399218,0.682312343265832
100,1,0.6,0.2,1,1,50,1,0.12,0.34,0.54,4553.5,4012,1415.36432534856,0,50,0.746937873021149,0.542820938780548,6,0.0561760015093228,0.23804817383203,0.224369492225001,0.478461739497674,4151.2579093551,4955.7420906449,4012,4012,0.177282233783046,1.31659351225925
100,1,0.6,0.2,1,1.5,50,1,0.02,0.98,0,8824.56,4012,2889.06430131675,0,50,0.448111422717755,NA,1,0.00353925927164624,0.104954435896378,0.895045564103622,0.996460740728354,8003.49701024081,9645.62298975919,4012,4012,NA,NA
100,1,0.6,0.2,3,0.5,50,1,1,0,0,3662.94,15397,1384.23158393355,0,50,1.51513635364764,0.423649690595412,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,3269.54573656821,4056.33426343179,15397,15397,1.39473644374869,1.6355362635466
100,1,0.6,0.2,3,1,50,1,1,0,0,5162.18,15397,1728.2804913366,0,50,1.16549330484422,0.434332514413008,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,4671.00811894752,5653.35188105248,15397,15397,1.04205737000849,1.28892923967995
100,1,0.6,0.2,3,1.5,50,1,0.52,0.12,0.36,10024.92,12171.04,4388.21444251183,2773.0429021461,50,0.586166865123344,0.246161463239522,26,0.385117448900446,0.652028647134219,0.0561760015093228,0.23804817383203,8777.80325419719,11272.0367458028,11382.9499270553,12959.1300729447,0.486740098390549,0.685593631856139
100,1,0.6,0.2,5,0.5,50,1,1,0,0,4171.04,24106,1625.31886931112,0,50,1.84686953333155,0.467387024009813,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,3709.1294881639,4632.9505118361,24106,24106,1.71403961080845,1.97969945585465
100,1,0.6,0.2,5,1,50,1,1,0,0,5443.82,24106,1791.51870005676,0,50,1.5599820998124,0.436595024741839,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,4934.67601888207,5952.96398111793,24106,24106,1.43590316665569,1.68406103296911
100,1,0.6,0.2,5,1.5,50,1,0.94,0,0.06,10318.46,24106,4478.81533721786,0,50,0.982357444595771,0.30486088169815,47,0.837829083111618,0.979385029651026,6.93889390390723e-18,0.0713475991333587,9045.59476481664,11591.3252351834,24106,24106,0.892846936435543,1.071867952756
100,1,0.6,0.2,10,0.5,50,1,1,0,0,4757.48,59088,2019.5518925075,0,50,2.61792820767825,0.473694432185559,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,4183.52970263892,5331.43029736108,59088,59088,2.48330573958528,2.75255067577122
100,1,0.6,0.2,10,1,50,1,1,0,0,5776.78,55672.48,2012.81563670072,7905.39266793786,50,2.33103054158827,0.487709897244856,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,5204.74412535702,6348.81587464298,53425.7922623131,57919.1677376869,2.19242492239714,2.4696361607794
100,1,0.6,0.2,10,1.5,50,1,1,0,0,10500.76,37741,4496.63468067271,0,50,1.35377257674593,0.37873992552044,50,0.928652400866641,1,6.93889390390723e-18,0.0713475991333587,9222.83056343977,11778.6894365602,37741,37741,1.24613588086233,1.46140927262953
100,1,0.6,0.3,0.001,0.5,50,1,0,1,0,874.5,71,213.159923675217,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,813.920619973794,935.079380026206,71,71,NA,NA
100,1,0.6,0.3,0.001,1,50,1,0,1,0,1318.82,71,333.170893821468,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,1224.13387963324,1413.50612036676,71,71,NA,NA
100,1,0.6,0.3,0.001,1.5,50,1,0,1,0,3407.28,71,930.348958889148,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,3142.87775136998,3671.68224863002,71,71,NA,NA
100,1,0.6,0.3,0.01,0.5,50,1,0,1,0,1370,71,353.249463797851,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,1269.6076131831,1470.3923868169,71,71,NA,NA
100,1,0.6,0.3,0.01,1,50,1,0,1,0,2162.26,71,482.789124964175,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,2025.05284881765,2299.46715118235,71,71,NA,NA
100,1,0.6,0.3,0.01,1.5,50,1,0,1,0,4469.86,71,1084.69702362513,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,4161.59251672016,4778.12748327984,71,71,NA,NA
100,1,0.6,0.3,0.1,0.5,50,1,0,1,0,2578.94,174,742.464302996777,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,2367.93397977049,2789.94602022951,174,174,NA,NA
100,1,0.6,0.3,0.1,1,50,1,0,1,0,4725.84,174,1163.38812657738,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,4395.20875270564,5056.47124729436,174,174,NA,NA
100,1,0.6,0.3,0.1,1.5,50,1,0,1,0,9352.86,211.24,2490.24345183112,48.0508064448454,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,8645.14064157076,10060.5793584292,197.584111904341,224.895888095659,NA,NA
